Modelo,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression (Ajustado),0.8227488151658767,0.6942148760330579,0.597864768683274,0.6424474187380497,0.8529499664358555
XGBoost (Ajustado),0.8056872037914692,0.680952380952381,0.5088967971530249,0.5824847250509165,0.8515499278141007
Random Forest (Ajustado),0.8009478672985783,0.6731707317073171,0.49110320284697506,0.5679012345679012,0.8468026704184942
Decision Tree (Ajustado),0.7601895734597156,0.5598290598290598,0.46619217081850534,0.5087378640776699,0.7685775239776729
