Modelo,Accuracy,F1 Score (Churn),AUC ROC
XGBoost,0.8061745284965539,0.5933083979137008,0.8493742663658747
Logistic Regression,0.8004884239197724,0.5953314074724574,0.8481838359570766
Random Forest,0.8037377739259627,0.5818235390961842,0.8469111882951299
Decision Tree,0.7673713424951509,0.5413124820333812,0.765419942111346
